"REF_DATE","GEO","DGUID","Divorces","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1986","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","687","","","","0"
"1986","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","199","","","","0"
"1986","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2609","","","","0"
"1986","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1729","","","","0"
"1986","Quebec","","Divorces","Number","223","units ","0","v115","6.1","19026","","","","0"
"1986","Ontario","","Divorces","Number","223","units ","0","v116","7.1","27549","","","","0"
"1986","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2982","","","","0"
"1986","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","2479","","","","0"
"1986","Alberta","","Divorces","Number","223","units ","0","v119","10.1","9556","","","","0"
"1986","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","11299","","","","0"
"1986","Yukon","","Divorces","Number","223","units ","0","v110","12.1","94","","","","0"
"1986","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","95","","","t","0"
"1987","Canada","","Divorces","Number","223","units ","0","v107","1.1","96200","","","","0"
"1987","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","1117","","","","0"
"1987","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","275","","","","0"
"1987","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2759","","","","0"
"1987","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1995","","","","0"
"1987","Quebec","","Divorces","Number","223","units ","0","v115","6.1","22098","","","","0"
"1987","Ontario","","Divorces","Number","223","units ","0","v116","7.1","39095","","","","0"
"1987","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","3923","","","","0"
"1987","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","2968","","","","0"
"1987","Alberta","","Divorces","Number","223","units ","0","v119","10.1","9535","","","","0"
"1987","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","12184","","","","0"
"1987","Yukon","","Divorces","Number","223","units ","0","v110","12.1","142","","","","0"
"1987","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","109","","","t","0"
"1988","Canada","","Divorces","Number","223","units ","0","v107","1.1","83507","","","","0"
"1988","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","906","","","","0"
"1988","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","269","","","","0"
"1988","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2494","","","","0"
"1988","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1673","","","","0"
"1988","Quebec","","Divorces","Number","223","units ","0","v115","6.1","20340","","","","0"
"1988","Ontario","","Divorces","Number","223","units ","0","v116","7.1","32524","","","","0"
"1988","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","3102","","","","0"
"1988","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","2501","","","","0"
"1988","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8744","","","","0"
"1988","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","10760","","","","0"
"1988","Yukon","","Divorces","Number","223","units ","0","v110","12.1","82","","","","0"
"1988","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","112","","","t","0"
"1989","Canada","","Divorces","Number","223","units ","0","v107","1.1","80998","","","","0"
"1989","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","1005","","","","0"
"1989","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","248","","","","0"
"1989","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2527","","","","0"
"1989","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1649","","","","0"
"1989","Quebec","","Divorces","Number","223","units ","0","v115","6.1","19829","","","","0"
"1989","Ontario","","Divorces","Number","223","units ","0","v116","7.1","31298","","","","0"
"1989","Manitoba","","Divorces","Number","223","units ","0","v117","8.1","2912","","","","0"
"1989","Saskatchewan","","Divorces","Number","223","units ","0","v118","9.1","2460","","","","0"
"1989","Alberta","","Divorces","Number","223","units ","0","v119","10.1","8237","","","","0"
"1989","British Columbia","","Divorces","Number","223","units ","0","v109","11.1","10658","","","","0"
"1989","Yukon","","Divorces","Number","223","units ","0","v110","12.1","82","","","","0"
"1989","Northwest Territories including Nunavut","","Divorces","Number","223","units ","0","v111","13.1","93","","","t","0"
"1990","Canada","","Divorces","Number","223","units ","0","v107","1.1","78463","","","","0"
"1990","Newfoundland and Labrador","","Divorces","Number","223","units ","0","v108","2.1","1016","","","","0"
"1990","Prince Edward Island","","Divorces","Number","223","units ","0","v112","3.1","281","","","","0"
"1990","Nova Scotia","","Divorces","Number","223","units ","0","v113","4.1","2419","","","","0"
"1990","New Brunswick","","Divorces","Number","223","units ","0","v114","5.1","1699","","","","0"
"1990","Quebec","","Divorces","Number","223","units ","0","v115","6.1","20474","","","","0"
"1990","Ontario","","Divorces","Number","223","units ","0","v116","7.1","28977","","","","0"
