REF_DATE,GEO,DGUID,Duration of marriage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 22 years",Number,223,units ,0,v42139443,4.29,52,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 23 years",Number,223,units ,0,v42139444,4.3,48,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 24 years",Number,223,units ,0,v42139445,4.31,42,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 25 to 29 years",Number,223,units ,0,v42139446,4.32,173,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 25 years",Number,223,units ,0,v42139447,4.33,39,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 26 years",Number,223,units ,0,v42139448,4.34,33,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 27 years",Number,223,units ,0,v42139449,4.35,37,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 28 years",Number,223,units ,0,v42139450,4.36,39,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 29 years",Number,223,units ,0,v42139451,4.37,25,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 30 to 34 years",Number,223,units ,0,v42139452,4.38,118,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 35 to 39 years",Number,223,units ,0,v42139453,4.39,51,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 40 to 44 years",Number,223,units ,0,v42139454,4.4,21,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 45 to 49 years",Number,223,units ,0,v42139455,4.41,4,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, 50 years and over",Number,223,units ,0,v42139456,4.42,3,,,,0
2004,"Nova Scotia, place of occurrence",2016A000212,"Duration of marriage, not stated",Number,223,units ,0,v42139457,4.43,0,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Year of marriage, all years",Number,223,units ,0,v42139458,5.1,1415,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 0 years",Number,223,units ,0,v42139459,5.2,2,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 1 to 4 years",Number,223,units ,0,v42139460,5.3,166,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 1 year",Number,223,units ,0,v42139461,5.4,15,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 2 years",Number,223,units ,0,v42139462,5.5,32,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 3 years",Number,223,units ,0,v42139463,5.6,58,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 4 years",Number,223,units ,0,v42139464,5.7,61,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 5 to 9 years",Number,223,units ,0,v42139465,5.8,309,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 5 years",Number,223,units ,0,v42139466,5.9,54,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 6 years",Number,223,units ,0,v42139467,5.1,65,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 7 years",Number,223,units ,0,v42139468,5.11,67,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 8 years",Number,223,units ,0,v42139469,5.12,59,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 9 years",Number,223,units ,0,v42139470,5.13,64,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 10 to 14 years",Number,223,units ,0,v42139471,5.14,267,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 10 years",Number,223,units ,0,v42139472,5.15,56,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 11 years",Number,223,units ,0,v42139473,5.16,55,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 12 years",Number,223,units ,0,v42139474,5.17,48,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 13 years",Number,223,units ,0,v42139475,5.18,57,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 14 years",Number,223,units ,0,v42139476,5.19,51,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 15 to 19 years",Number,223,units ,0,v42139477,5.2,218,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 15 years",Number,223,units ,0,v42139478,5.21,45,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 16 years",Number,223,units ,0,v42139479,5.22,48,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 17 years",Number,223,units ,0,v42139480,5.23,49,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 18 years",Number,223,units ,0,v42139481,5.24,36,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 19 years",Number,223,units ,0,v42139482,5.25,40,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 20 to 24 years",Number,223,units ,0,v42139483,5.26,178,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 20 years",Number,223,units ,0,v42139484,5.27,27,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 21 years",Number,223,units ,0,v42139485,5.28,45,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 22 years",Number,223,units ,0,v42139486,5.29,37,,,,0
2004,"New Brunswick, place of occurrence",2016A000213,"Duration of marriage, 23 years",Number,223,units ,0,v42139487,5.3,37,,,,0
